user_id,animal,est_i,estimation
44768233,mouse,3,55
44768233,mouse,4,55
44768233,mouse,5,56
56031770,pigeon,0,10
56031770,pigeon,1,9
56031770,pigeon,2,17
56031770,pigeon,3,13
56031770,pigeon,4,36
56031770,pigeon,5,18
56031770,mouse,0,45
56031770,mouse,1,75
56031770,mouse,2,66
56031770,mouse,3,78
56031770,mouse,4,88
56031770,mouse,5,52
56031770,rabbit,0,55
56031770,rabbit,1,38
56031770,rabbit,2,67
56031770,rabbit,3,42
56031770,rabbit,4,87
56031770,rabbit,5,51
86510399,rabbit,0,60
86510399,rabbit,1,50
86510399,rabbit,2,60
86510399,rabbit,3,55
86510399,rabbit,4,55
86510399,rabbit,5,60
86510399,pigeon,0,60
86510399,pigeon,1,65
86510399,pigeon,2,60
86510399,pigeon,3,60
86510399,pigeon,4,60
86510399,pigeon,5,70
86510399,mouse,0,40
86510399,mouse,1,50
86510399,mouse,2,50
86510399,mouse,3,60
86510399,mouse,4,40
86510399,mouse,5,50
81964096,pigeon,0,80
81964096,pigeon,1,55
81964096,pigeon,2,46
81964096,pigeon,3,53
81964096,pigeon,4,50
81964096,pigeon,5,53
81964096,mouse,0,40
81964096,mouse,1,48
81964096,mouse,2,20
81964096,mouse,3,30
81964096,mouse,4,17
81964096,mouse,5,90
81964096,rabbit,0,72
81964096,rabbit,1,85
81964096,rabbit,2,82
81964096,rabbit,3,53
81964096,rabbit,4,47
81964096,rabbit,5,68
36111101,pigeon,0,25
36111101,pigeon,1,23
36111101,pigeon,2,37
36111101,pigeon,3,69
36111101,pigeon,4,61
36111101,pigeon,5,42
36111101,rabbit,0,40
36111101,rabbit,1,31
36111101,rabbit,2,11
36111101,rabbit,3,61
36111101,rabbit,4,21
36111101,rabbit,5,51
36111101,mouse,0,30
36111101,mouse,1,30
36111101,mouse,2,31
36111101,mouse,3,52
36111101,mouse,4,31
36111101,mouse,5,41
89210137,mouse,0,40
89210137,mouse,1,55
89210137,mouse,2,65
89210137,mouse,3,41
89210137,mouse,4,45
89210137,mouse,5,40
89210137,pigeon,0,35
89210137,pigeon,1,40
89210137,pigeon,2,25
89210137,pigeon,3,15
89210137,pigeon,4,10
89210137,pigeon,5,15
89210137,rabbit,0,32
89210137,rabbit,1,39
